business_id,name,categories,latitude,longitude
osm_med plus_hospital,med plus,hospital,17.4045834,78.4893402
osm_Century hospital_hospital,Century hospital,hospital,17.4072675,78.4442572
osm_Blood Bank_hospital,Blood Bank,hospital,17.4249205,78.4139937
osm_Med plus_hospital,Med plus,hospital,17.4044822,78.4893121
osm_CENTURY SUPER SPECIALITY HOSPITAL_hospital,CENTURY SUPER SPECIALITY HOSPITAL,hospital,17.4072495,78.4447338
"osm_Vasan Healthcare Private Limited, Himayath Nagar_hospital","Vasan Healthcare Private Limited, Himayath Nagar",hospital,17.4009037,78.4875706
osm_Asian Institute of Nephrology and Urology_hospital,Asian Institute of Nephrology and Urology,hospital,17.4166539,78.4534763
osm_Challa Hospital_hospital,Challa Hospital,hospital,17.4396192,78.450794
osm_Shresta Orange Hospitals_hospital,Shresta Orange Hospitals,hospital,17.3451071,78.5537805
osm_AMMA EYE CARE HOSPITAL_hospital,AMMA EYE CARE HOSPITAL,hospital,17.3412305,78.5581563
osm_OXYGEN AND Medicity Hospital_hospital,OXYGEN AND Medicity Hospital,hospital,17.3416722,78.5576405
osm_Pace Hospital_hospital,Pace Hospital,hospital,17.4444782,78.469498
osm_Rainbow children Hospital_hospital,Rainbow children Hospital,hospital,17.3418162,78.5588085
osm_Vasan Eye Care Hospital_hospital,Vasan Eye Care Hospital,hospital,17.4955259,78.332226
osm_KIMS HOSPITAL_hospital,KIMS HOSPITAL,hospital,17.466147,78.3677443
osm_Happy Children's Hospital_hospital,Happy Children's Hospital,hospital,17.4928587,78.327984
osm_Vanaja Hospital_hospital,Vanaja Hospital,hospital,17.4921861,78.3275773
"osm_Area Hospital, Vanasthalipuram_hospital","Area Hospital, Vanasthalipuram",hospital,17.3289104,78.563899
osm_Pushpagiri Eye Institute_hospital,Pushpagiri Eye Institute,hospital,17.4439091,78.5043433
osm_Archana Hospital_hospital,Archana Hospital,hospital,17.4959755,78.337417
osm_Health Care Clinic_hospital,Health Care Clinic,hospital,17.3448605,78.4599543
osm_Guru Nanak Care Hospital_hospital,Guru Nanak Care Hospital,hospital,17.4153976,78.4979892
osm_Tanvir Hospital_hospital,Tanvir Hospital,hospital,17.4297764,78.4340161
osm_Himagiri Hospital_hospital,Himagiri Hospital,hospital,17.4422328,78.3587144
osm_PANACEA MERIDIAN HOSPITAL_hospital,PANACEA MERIDIAN HOSPITAL,hospital,17.5087613,78.300147
osm_S.V. Pooja Hospital_hospital,S.V. Pooja Hospital,hospital,17.498762,78.384027
osm_Sri Devi Maternity & Nursing Home_hospital,Sri Devi Maternity & Nursing Home,hospital,17.4227862,78.5165968
osm_Sri Srinivasa Hospital_hospital,Sri Srinivasa Hospital,hospital,17.3506727,78.5078608
osm_Sitara medical center_hospital,Sitara medical center,hospital,17.3497123,78.4707124
osm_Anukrushna Hospitals_hospital,Anukrushna Hospitals,hospital,17.446158,78.5383502
osm_Raja Hospital_hospital,Raja Hospital,hospital,17.4943337,78.3448275
osm_NIRD heatlth centre_hospital,NIRD heatlth centre,hospital,17.3140538,78.4045957
osm_Malla Reddy Health City (MRHC)_hospital,Malla Reddy Health City (MRHC),hospital,17.5454734,78.4326051
osm_Neelima - Sanath Nagar_hospital,Neelima - Sanath Nagar,hospital,17.4564341,78.4388653
osm_Poojitha Hospital_hospital,Poojitha Hospital,hospital,17.456281,78.4369269
"osm_Apollo Dental Clinic, Hitech City_hospital","Apollo Dental Clinic, Hitech City",hospital,17.4503845,78.3825608
osm_RAJUS DENTAL_hospital,RAJUS DENTAL,hospital,17.4571109,78.5465732
osm_VINN Hospital_hospital,VINN Hospital,hospital,17.4379741,78.4563758
osm_Mahatma Sriramachandra Centenary Memorial Hospital_hospital,Mahatma Sriramachandra Centenary Memorial Hospital,hospital,17.3948133,78.4525058
osm_Nice Hospital_hospital,Nice Hospital,hospital,17.3972385,78.4562128
osm_Red Cross Nature Cure Centre_hospital,Red Cross Nature Cure Centre,hospital,17.4257981,78.4207625
osm_Goodwill Kidney and Surgical Centre_hospital,Goodwill Kidney and Surgical Centre,hospital,17.4057018,78.4508868
